Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Forbes
Report Date: 10/03/2025
Comparison Date: 03/03/2025
Total Yarding: 681 (-1036)
Commentary
"Numbers more than halved this sale with agents yarding just 681 head. Quality was very mixed with both well finished and secondary cattle penned. The usual buyers were present and competing in a firm to dearer market.

Yearling steers to feed lifted 4 to 5c/kg to sell from 320 to 382c/kg. Finished types to processors received from 330 to 380c/kg. The heifer portion also improved with those to feed selling from 293 to 330c/kg. processors paid from 290 to 350c/kg for better types. 

Heavy steers were limited and reached 360c/kg. Grown heifers sold to 296c/kg. Cows were firm to 3c easier with heavy 2 score from 255 to 271c and 3 score from 276c to 298c/kg. The best heavy bull reached 312c/kg."
Yearling Heifer,280-330,Restocker,C,2,10,NQ,300.0,312.0,310.8,NQ,555.6,577.8,575.6,900.0,936.0,932.4
Yearling Heifer,280-330,Restocker,C,3,12,NQ,319.0,319.0,319,NQ,590.7,590.7,590.7,957.0,957.0,957
Yearling Heifer,330-400,Feeder,C,2,23,-31,293.2,320.0,314.17391304347825,-3.0,543.0,592.6,581.8,1084.8,1152.0,1137.4000084918478
Yearling Heifer,330-400,Feeder,C,3,23,-84,300.0,330.0,315.46956734035325,8.4,555.6,611.1,584.2,1085.0,1320.0,1229.7626316236413
Yearling Heifer,330-400,Feeder,D,3,10,NQ,255.0,280.0,262.5,NQ,472.2,518.5,486.1,892.5,1008.0,927.15
Yearling Heifer,330-400,Processor,C,3,7,-20,290.0,330.0,313.42857142857144,16.8,537.0,611.1,580.4,1015.0,1320.0,1182.7999965122767
Yearling Heifer,330-400,Processor,D,2,18,NQ,220.0,285.0,259.72222222222223,NQ,407.4,527.8,481.0,880.0,1111.5,1021.4722222222222
Yearling Heifer,330-400,Restocker,D,3,5,NQ,269.0,269.0,269,NQ,498.1,498.1,498.1,941.5,941.5,941.5
Yearling Heifer,400+,Feeder,C,2,23,2,300.0,320.0,315.6521739130435,4.5,555.6,592.6,584.5,1260.0,1376.0,1350.7826086956522
Yearling Heifer,400+,Feeder,C,3,46,17,299.0,335.0,319.19565217391306,13.6,553.7,620.4,591.1,1225.9,1373.5,1336.3673891813858
Yearling Heifer,400+,Processor,C,3,37,-7,307.2,350.0,335.6918928816512,7.7,568.9,648.1,621.7,1321.0,1645.0,1492.058910472973
Vealer Heifer,200-280,Processor,C,3,2,NQ,310.0,310.0,310,NQ,574.1,574.1,574.1,775.0,775.0,775
Grown Steer,500-600,Processor,C,3,16,13,341.2,360.0,355.07500076293945,18.6,631.9,666.7,657.5,1846.0,2047.2,1883.6999969482422
Grown Steer,600-750,Processor,C,3,1,-9,340.0,340.0,340,19.2,629.6,629.6,629.6,2482.0,2482.0,2482
Grown Heifer,0-540,Feeder,C,3,1,NQ,330.0,330.0,330,NQ,611.1,611.1,611.1,1650.0,1650.0,1650
Grown Heifer,0-540,Processor,C,2,4,NQ,260.0,260.0,260,NQ,481.5,481.5,481.5,1404.0,1404.0,1404
Grown Heifer,0-540,Processor,C,3,5,-23,270.0,270.0,270,-41.9,500.0,500.0,500.0,1026.0,1026.0,1026
Grown Heifer,540+,Processor,C,2,5,NC,296.2,296.2,296.2,-13.8,548.5,548.5,548.5,1629.1,1629.1,1629.1
Cows,400-520,Processor,D,3,6,-1,260.0,276.0,270.6666666666667,8.7,520.0,552.0,541.3,1144.0,1407.6,1319.7333170572917
Cows,520+,Processor,D,2,35,-87,255.0,271.0,263.51428571428573,-6.7,510.0,542.0,527.0,1402.5,1707.3,1510.9828543526785
Cows,520+,Processor,D,3,43,-156,276.0,298.0,288.3720930232558,-2.9,552.0,596.0,576.7,1584.6,2115.8,1940.1860692223838
Cows,520+,Processor,D,5,2,NQ,266.2,266.2,266.20001220703125,NQ,532.4,532.4,532.4,2236.1,2236.1,2236.080078125
Bulls,0-450,Processor,C,2,3,NC,270.0,291.2,277.06667073567706,-5.9,500.0,539.3,513.1,1134.0,1193.9,1153.9733479817708
Bulls,600+,Processor,C,2,7,-3,279.2,312.2,294.22857666015625,9.0,517.0,578.1,544.9,1870.6,2841.0,2429.5057547433034
