Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CVLX Ballarat
Report Date: 07/02/2024
Comparison Date: 24/01/2024
Total Yarding: 306 (-84)
Commentary
"Cattle numbers dropped to 306 yarded, quality varied, there were good runs of heavy weight cows, while other weights and grades were mostly secondary types with the odd pen of better quality cattle throughout the market. Not all the usual buying group were present, with extra buyer was on the rail, operating in a market with mixed results. Young cattle sold to 6c dearer to the trade and firm to feeders. Grown steers gained 4c, while the grown heifers slipped 20c/kg, limited numbers and quality a factor. Heavy cows sold to 20c cheaper and the medium and lighter weights sold to 10c/kg better. Manufacturing dairy steers gained 14c, heavy bulls slipped 10c and the younger lighter bulls sold to 10c stronger.

Young cattle to the trade sold from 250c to 322c and restockers and feeders paid from 250c to 338c, and the plainer types made from 150c to 275c/kg.  Grown Steers made from 278c to 328c, grown heifers sold 220c to 276c and feeders paid from 222c to 274c/kg. Manufacturing Beef steers made from 192c to 252c, and the dairy steers sold from 210c to 254c/kg.

Heavy cows sold from 208c to 254c/kg. Medium and light weight cows sold from 145c to 232c and Dairy cows made from 164c to 232c/kg. Heavy bulls sold from 192c to 235c and the lighter and young bulls from 180c to 234c/kg.

Market Reporter, Sheona Lamb"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Dairy,D,4,1,NQ,154.0,154.0,154,NQ,320.8,320.8,320.8,438.9,438.9,438.8999938964844
Yearling Steer,280-330,Feeder,C,2,7,NQ,338.0,338.0,338,NQ,637.7,637.7,637.7,1047.8,1047.8,1047.800083705357
Yearling Steer,330-400,Feeder,C,2,2,NQ,282.0,282.0,282,NQ,532.1,532.1,532.1,1001.1,1001.1,1001.0999755859375
Yearling Steer,330-400,Feeder,C,3,2,-5,310.0,310.0,310,-0.3,574.1,574.1,574.1,1193.5,1193.5,1193.5
Yearling Steer,330-400,Feeder,D,2,2,NQ,268.0,268.0,268,NQ,505.7,505.7,505.7,897.8,897.8,897.7999877929688
Yearling Steer,330-400,Feeder,D,3,3,-5,275.0,275.0,275,22.4,518.9,518.9,518.9,976.3,976.3,976.25
Yearling Steer,400+,Feeder,C,3,4,-13,300.0,312.0,306,-11.9,555.6,577.8,566.7,1388.4,1395.0,1391.7000122070312
Yearling Steer,400+,Processor,C,3,3,-1,322.0,322.0,322,9.0,619.2,619.2,619.2,1561.7,1561.7,1561.6998697916667
Yearling Heifer,200-280,Feeder,D,2,1,NQ,150.0,150.0,150,NQ,288.5,288.5,288.5,375.0,375.0,375
