Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Dalby
Report Date: 29/01/2025
Comparison Date: 22/01/2025
Total Yarding: 3495 (-3643)
Commentary
"The number of stock at Dalby reduced by more than half the previous weeks level to 3,495 head. All the regular export processors were in attendance however one major exporter was not operating. Feeder representation was good and all were active in the market plus a good lineup of restocker buyers.

Light weight yearling steers returning to the paddock sold to a market close to the previous weeks levels with only quality related adjustments. Medium and heavy weight yearling steers to feed followed a similar trend. Light weight yearling heifers to restockers sold to a cheaper market. Yearling heifers to feed experienced some quality related price changes. A small selection of heavy grown steers and bullocks were noticeably cheaper.  Cows continued to lose ground in price to average 10c to 15c/kg less. 

Light weight yearling steers returning to the paddock averaged from 410c to 418c with sales to 456c/kg. Yearling steers to feed for the domestic market averaged from 395c to 405c with sales to 424c/kg. Heavy weight yearling steers to feed made to a top of 396c to average 374c/kg.  Light weight yearling heifers returning to the paddock made to the occasional 348c to average 273c/kg. Medium weight yearling heifers to feed averaged from 328c to 334c with sales to 354c/kg.  Heavy weight yearling heifers to feed averaged 312c with sales to 334c/kg.

A relatively small selection of heavy grown steers and bullocks to export processors averaged from 303c to 305c and sold to 310c/kg. Medium weight 2 score cows averaged 235c and made to 243c/kg. Heavy weight 3 score cows averaged 268c and the best of the heavy weight cows averaged 279c and made to 284c/kg. Heavy weight bulls were noticeably cheaper and made to 268c/kg.

Market Reporter, Trevor Hess."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,7,NQ,408.2,408.2,408.2000209263393,NQ,742.2,742.2,742.2,755.2,755.2,755.1699916294643
Yearling Steer,200-280,Restocker,C,2,175,-175,358.2,456.2,410.6674386160714,-0.3,651.3,829.5,746.7,920.5,1254.6,1074.57498046875
Yearling Steer,200-280,Restocker,D,2,86,61,264.2,356.2,322.03257148210395,43.9,480.4,647.6,585.5,700.1,943.9,831.9027922874274
Yearling Steer,280-330,Feeder,C,2,104,66,346.2,424.2,405.6576960637019,17.0,629.5,771.3,737.6,1038.6,1272.6,1216.9730694110576
Yearling Steer,280-330,Restocker,C,2,72,-248,350.2,432.2,418.0333421495226,15.9,636.7,785.8,760.1,1050.6,1296.6,1251.968994140625
Yearling Steer,280-330,Restocker,D,2,17,-31,242.2,318.2,290.0470652860754,-4.3,440.4,578.5,527.4,726.6,954.6,870.1411276424633
Yearling Steer,330-400,Feeder,C,2,237,-151,330.2,426.2,395.29874030648404,7.4,600.4,774.9,718.7,1206.7,1640.9,1417.6538920342168
Yearling Steer,330-400,Restocker,D,2,14,NQ,276.2,286.2,282.62857491629467,NQ,502.2,520.4,513.9,928.0,1044.6,1002.9879324776786
Yearling Steer,400+,Feeder,C,2,528,-153,298.2,396.2,372.1818256956158,2.2,542.2,720.4,677.9,1237.5,1805.1,1640.8222628506746
