Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 25/09/2024
Comparison Date: 18/09/2024
Total Yarding: 2679 (+246)
Commentary
"Following the large supply in recent weeks with seperate prime and store sales, the supply eased for a yarding of 2679 cattle in a return to a combined prime and store sale. Two southern processors were notably absent in a very small buyer panel, assisted by one regular feeder and opportunity backgrounders. Quality was mixed, comprising of small lines of heavy bullocks, several good quality large lines of prime cows, supported by small lines of store steers and heifers. Cattle were drawn from Mt Isa to Georgetown, Richmond to Ingham and south to Belyando.

Values for all classes were lower than last sale.  Competition for well finished heavy lines was good, however lesser quality cattle in light condition were difficult to sell. Steers and heifers below 250kg met limited demand, with some failing to sell. Grown steers fell 30c to 40c, grown heifers eased 8c to 12c, bullocks softened by 2c to 23c, prime cows averaged 2c to 14c lower and bulls were down by 20c to 25c/kg.

Lightweight suitably weaned steers of good quality returning to the paddock averaged 266c, selling to 270c, with similar heifers to processors selling to 246c to average 225c/kg. Mixed quality yearling steers above 280kg to feed sold to 268c and steers above 330kg made to 258c to average 257/c/kg. Yearling heifers in light condition to feed made to 200c to average 158c, a good line of grain assisted heifers returning to feed made 254c, plainer types averaged 232c/kg.

Grown steers above 500kg to the trade sold to 330c, a good sample averaging 306c/kg. Small lines of grown heifers to the trade reached 268c to average 242c/kg. Heavy full mouthed bullocks to export slaughter topped at 311c to average from 294c to 310c/kg. Medium weight 2 score cows sold from 160c to 232c to average 210c, 3 scores sold from 202c to 268c to average 256c and a good supply of prime heavyweight 3 and 4 score cows topped at 270c multiple times to average 263c/kg.
Heavy bulls to processors made to 264c to average 224c to 250c/kg.

A small number of cows and calves sold to $950 per unit.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,200-280,Feeder,D,2,15,NQ,180.0,230.0,208,NQ,346.2,442.3,400.0,405.0,586.5,508.46666666666664
Yearling Steer,200-280,Processor,D,2,3,NQ,136.0,180.0,165.33333333333334,NQ,261.5,346.2,317.9,346.8,450.0,415.59999593098956
Yearling Steer,200-280,Restocker,D,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,687.5,687.5,687.5
Yearling Steer,280-330,Feeder,C,2,28,NQ,250.0,268.0,257.07142857142856,NQ,480.8,515.4,494.4,787.5,830.8,804.5107073102679
Yearling Steer,280-330,Feeder,D,2,16,NQ,220.0,256.0,230,NQ,423.1,492.3,442.3,671.0,832.0,743.25
Yearling Steer,280-330,Processor,D,2,3,1,240.0,240.0,240,10.0,461.5,461.5,461.5,696.0,696.0,696
Yearling Steer,330-400,Feeder,C,2,7,NQ,256.0,258.0,257.7142857142857,NQ,492.3,496.2,495.6,954.6,985.6,959.0285121372768
Yearling Steer,330-400,Feeder,D,2,42,NQ,220.0,260.0,256.85714285714283,NQ,423.1,500.0,494.0,814.0,943.5,903.9428478422619
Yearling Steer,400+,Feeder,C,2,13,NQ,262.0,262.0,262,NQ,494.3,494.3,494.3,1074.2,1074.2,1074.199969951923
Yearling Steer,400+,Processor,C,3,11,NQ,255.0,255.0,255,NQ,472.2,472.2,472.2,1109.3,1109.3,1109.25
Yearling Heifer,0-200,Feeder,E,2,4,NQ,50.0,50.0,50,NQ,96.2,96.2,96.2,100.0,100.0,100
