Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Vealer Heifer,200-280,Restocker,C,2,50,35,250.0,250.0,250,22.0,480.8,480.8,480.8,637.5,662.5,651
Vealer Heifer,200-280,Restocker,D,2,43,27,230.0,230.0,230,33.5,442.3,442.3,442.3,506.0,506.0,506
Manufacturing Steer,0-540,Live Export,D,2,13,NQ,290.0,290.0,290,NQ,557.7,557.7,557.7,1406.5,1406.5,1406.5
Manufacturing Steer,0-540,Live Export,D,3,10,NQ,304.0,304.0,304,NQ,573.6,573.6,573.6,1489.6,1489.6,1489.6
Manufacturing Steer,0-540,Processor,D,2,29,23,246.0,274.0,262.82758620689657,-9.5,473.1,526.9,505.4,1029.6,1287.8,1084.5344995959051
Manufacturing Steer,0-540,Processor,D,3,23,10,292.0,310.0,302.2608695652174,8.9,550.9,584.9,570.3,1401.6,1581.0,1529.7087296195652
Manufacturing Steer,540+,Processor,C,3,1,-5,300.0,300.0,300,-23.0,555.6,555.6,555.6,1635.0,1635.0,1635
Manufacturing Steer,540+,Processor,C,4,13,10,323.0,328.0,327.61538461538464,9.6,598.1,607.4,606.7,1869.6,2051.1,1883.557635967548
Manufacturing Steer,540+,Processor,D,3,12,3,314.0,322.0,321.3333333333333,28.7,592.5,596.3,596.0,1868.3,1899.8,1897.175069173177
Manufacturing Steer,540+,Processor,D,4,10,4,306.0,306.0,306,4.7,566.7,566.7,566.7,1744.2,1744.2,1744.2
Manufacturing Steer,540+,Processor,D,5,8,NQ,310.0,310.0,310,NQ,563.6,563.6,563.6,2139.0,2139.0,2139
Grown Steer,0-400,Feeder,D,2,23,NQ,160.0,306.0,230.8695652173913,NQ,307.7,588.5,444.0,560.0,1065.6,793.7130259638247
Grown Steer,0-400,Live Export,D,2,60,52,250.0,302.0,281.6333333333333,20.6,480.8,580.8,541.6,747.3,1092.0,927.1633463541667
Grown Steer,0-400,Processor,D,2,30,19,242.0,266.0,243.93333333333334,-21.3,465.4,511.5,469.1,825.0,1037.4,940.2899943033855
Grown Steer,400-500,Feeder,C,2,2,NQ,250.0,250.0,250,NQ,480.8,480.8,480.8,1087.5,1087.5,1087.5
Grown Steer,400-500,Feeder,D,2,1,-17,180.0,180.0,180,-106.0,346.2,346.2,346.2,765.0,765.0,765
Grown Steer,400-500,Live Export,C,2,2,NQ,260.0,260.0,260,NQ,500.0,500.0,500.0,1131.0,1131.0,1131
Grown Steer,400-500,Live Export,D,3,14,-2,294.0,294.0,294,-5.0,544.4,554.7,550.3,1205.4,1455.3,1312.5000697544642
Grown Steer,400-500,Processor,C,3,9,-1,294.0,300.0,294.6666666666667,10.7,554.7,566.0,556.0,1455.0,1455.3,1455.2667100694443
Grown Steer,400-500,Processor,D,2,2,NQ,266.0,266.0,266,NQ,501.9,501.9,501.9,1236.9,1236.9,1236.9000244140625
Grown Steer,400-500,Processor,D,3,3,-7,274.0,274.0,274,-7.0,517.0,517.0,517.0,1315.2,1342.6,1324.3332926432292
Grown Steer,500-600,Live Export,D,3,1,-8,304.0,304.0,304,-6.0,573.6,573.6,573.6,1565.6,1565.6,1565.5999755859375
Grown Steer,500-600,Processor,C,3,7,-18,314.0,314.0,314,-6.9,581.5,581.5,581.5,1648.5,1648.5,1648.5
