Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Roma Store
Report Date: 25/03/2025
Comparison Date: 18/03/2025
Total Yarding: 4095 (-2617)
Commentary
" Well with great falls of rain in the supply district Roma Agents yarded 4,095 head. Cattle were drawn from NSW SA and the major supply area of QLD. All the regular processors feedlotters and backgrounders present and active with the market firm for steers. Meat works bullocks heavy heifers and cows were dearer.

Yearling steers 200 to 280kg sold from 303c to 434c/kg for the better lines. Yearling steers 280 to 330kg also sold to 434c to be 5c to 10c/kg stronger than last sale. Yearling steers 330 to 400kg made from 308c to 392c/kg. Yearling steers 400 to 480kg steers sold to improved rates and made to 368c/kg. Yearling steers over 480kg topped 322c/kg.

Yearling heifers under 200kg sold to 308c/kg. Yearling heifers 200 to 280kg with the majority selling from 290c to 322c/kg for better types.Yearling heifers 280 to 330kg improved slightly and made to 334c/kg. Yearling heifers 330 to 400kg also gained in price and sold to 350c/kg. Yearling heifers 400 to 480kg sold to 361c/kg to processors. Yearling heifers over 480kg made from 304c to 346c/kg.

Grown steers 500 to 600kg topped 361c/kg almost 30c/kg dearer than last sale. A small number of bullocks over 600kg made to 335c/kg. Heavy heifers over 540kg topped 356c/kg. Another good run of cows penned and sold to stronger demand. The 2 score cows 400 to 520kg with the majority selling from 210c to 272c/kg. The 3 score cows over 520kg topped 300c/kg. 

Bulls over 600kg topped 311c/kg. Bulls 450 to 600kg made to 296c/kg. Bulls under 450kg sold from 240c to 374c/kg. A large run of cows & calves penned and sold from $800/hd to $1950/hd.



Market Reporter David Friend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,400+,Restocker,C,2,31,-58,230.0,280.8,278.7741935483871,-35.3,460.0,561.6,557.5,1142.4,1265.0,1147.9341607862902
Grown Steer,500-600,Feeder,C,2,7,NQ,312.2,320.2,313.3428693498884,NQ,589.1,604.2,591.2,1810.8,1857.2,1817.3886544363838
Grown Steer,500-600,Feeder,D,2,1,NQ,260.2,260.2,260.20001220703125,NQ,490.9,490.9,490.9,1353.0,1353.0,1353.0400390625
Grown Steer,500-600,Processor,C,3,26,-12,312.2,361.2,345.469245323768,36.0,589.1,681.5,651.8,1810.8,2167.2,2050.540752704327
Grown Steer,600-750,Processor,C,3,24,3,316.2,335.2,329.6583531697591,19.7,596.6,632.5,622.0,2055.3,2373.2,2167.081258138021
Grown Heifer,0-540,Feeder,C,2,1,NQ,308.2,308.2,308.20001220703125,NQ,616.4,616.4,616.4,1232.8,1232.8,1232.800048828125
Grown Heifer,0-540,Processor,C,2,44,-31,245.0,329.2,304.56364302201706,59.0,490.0,658.4,600.9,936.0,1498.5,1370.6787109375
Grown Heifer,0-540,Processor,C,3,70,NQ,240.2,346.2,285.0571480887277,NQ,480.4,692.4,570.1,960.8,1800.2,1292.3971296037946
Grown Heifer,0-540,Restocker,C,2,2,-2,245.0,245.0,245,15.0,490.0,490.0,490.0,1004.5,1004.5,1004.5
Grown Heifer,540+,Processor,C,3,143,76,240.0,356.2,328.5804255558894,15.5,480.0,712.4,657.2,1320.0,2210.0,1887.627180192854
Grown Heifer,540+,Restocker,C,3,3,NQ,288.2,288.2,288.20001220703125,NQ,576.4,576.4,576.4,1585.1,1585.1,1585.0999348958333
Cows,400-520,Processor,D,2,7,-16,250.2,255.0,253.62857055664062,23.4,500.4,510.0,507.3,1251.0,1275.0,1268.142857142857
Cows,400-520,Processor,D,3,19,NQ,300.2,300.2,300.2000154194079,NQ,600.4,600.4,600.4,1561.0,1561.0,1561.0400904605262
Cows,520+,Processor,D,2,123,-156,200.0,272.2,252.67967497042525,2.2,400.0,544.4,505.4,1140.0,1836.0,1490.5001627604167
Cows,520+,Processor,D,3,548,278,210.0,300.2,291.6051155702911,13.8,420.0,600.4,583.2,1428.0,2100.0,1937.3355421080207
Cows,520+,Restocker,D,1,1,NQ,120.0,120.0,120,NQ,240.0,240.0,240.0,696.0,696.0,696
Cows,520+,Restocker,D,2,6,NQ,210.2,210.2,210.19999186197916,NQ,420.4,420.4,420.4,1177.1,1177.1,1177.1199544270833
Bulls,0-450,Feeder,C,2,19,NQ,290.0,308.2,307.2421104029605,NQ,547.2,581.5,579.7,870.0,1183.5,1117.3522820723683
Bulls,0-450,Processor,C,2,13,-45,286.2,304.2,297.2769305889423,32.7,540.0,574.0,560.9,915.8,1116.4,1039.2702073317307
Bulls,0-450,Restocker,C,2,43,-65,240.0,374.2,316.0325629655705,-22.0,452.8,706.0,596.3,729.0,957.5,828.2388958598292
Bulls,450-600,Processor,C,2,6,-12,296.2,296.2,296.20001220703125,28.2,558.9,558.9,558.9,1445.5,1445.5,1445.4560546875
Bulls,600+,Processor,C,2,54,28,240.0,311.2,289.5814912584093,19.6,480.0,622.4,564.7,1820.0,3423.2,3093.7055890118636
Bulls,600+,Processor,C,3,50,-10,24.0,310.0,274.47200653076175,-5.8,48.0,620.0,548.9,264.0,3410.0,2984.2479736328123
Bulls,600+,Restocker,C,2,3,NQ,260.2,267.2,264.86667887369794,NQ,520.4,534.4,529.7,1870.4,2862.2,2201.0000813802085
