Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 05/03/2025
Comparison Date: 26/02/2025
Total Yarding: 3137 (+84)
Commentary
"There was only a small increase in numbers of 84 head to 3137 head at CQLX Gracemere sale. Cattle were drawn from all local districts. North and south coastal vendors and a large draft from North Queensland. Quality, as usual was mixed, although there were several lines of well-bred, well-presented cattle. Although some buyers were not operating due to the prevailing weather conditions to the south, most of the usual panel was present and operating, albeit on reduced limits. The few classes that saw increases were quality related, with the sale easier than last week.

The few vealer steers sold to 377c/kg to average 307c to 362c/kg. Vealer heifers recorded averages from 250c to 291c/kg.

Light weight yearling steers sold to 415c/kg with large samples of well-bred lines averaging 355c/kg and plain lines 305c/kg. Medium weight lines averaged 335c to 366c/kg for the best bred pens. Light weight yearling heifers sold to 302c/kg, averaging 264c to 286c/kg for the best. Medium weight pens averaged 255c to 295c/kg.

The few bullocks and grown steers to processors made to 343c/kg, averaging 304c to 337c/kg. Large samples to feed and restockers averaged 325c to 365c/kg. Grown heifers to the trade saw the tops make 304c/kg and averages from 280c to 297c/kg. Those to feed averaged 265c to 299c/kg.

A few restocker cows averaged 236c to 243c/kg in what was generally a better conditioned offering of cows than previous weeks. Best conditioned, heavy, four score cows eased to average 270c/kg to processors. Heavy bulls to processors averaged 244c/kg and to Livex 254c/kg, again a considerable easing on last sale.  Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Heifer,330-400,Processor,C,2,20,13,255.0,287.0,280,-12.7,490.4,551.9,538.5,930.8,1018.8,977.95498046875
Yearling Heifer,330-400,Processor,D,2,6,-12,269.0,269.0,269,9.8,517.3,517.3,517.3,914.6,914.6,914.5999348958334
Yearling Heifer,330-400,Restocker,C,2,30,NQ,273.0,330.0,310.8,NQ,525.0,634.6,597.7,914.5,1237.5,1129.0466735839843
Yearling Heifer,330-400,Restocker,D,2,1,NQ,255.0,255.0,255,NQ,490.4,490.4,490.4,905.3,905.3,905.25
Yearling Heifer,400+,Feeder,C,2,5,4,289.0,289.0,289,-31.0,555.8,555.8,555.8,1257.2,1257.2,1257.15
Vealer Steer,0-200,Restocker,C,2,42,27,350.0,377.0,362.0952380952381,-42.0,673.1,725.0,696.3,678.6,696.2,683.1964169456845
Vealer Steer,0-200,Restocker,D,2,37,21,263.0,341.0,306.5135135135135,8.6,505.8,655.8,589.4,462.0,665.0,578.7553875897381
Vealer Steer,200-280,Processor,D,2,30,27,270.0,303.0,284.73333333333335,17.1,519.2,582.7,547.6,584.3,702.7,610.7233520507813
Vealer Steer,200-280,Restocker,C,2,31,20,350.0,363.0,351.83870967741933,9.4,673.1,698.1,676.6,736.0,816.8,787.0048394972279
Vealer Steer,200-280,Restocker,D,2,16,10,330.0,340.0,333.3125,30.3,634.6,653.8,641.0,678.5,697.0,691.5406188964844
Vealer Steer,330+,Restocker,D,2,1,NQ,339.0,339.0,339,NQ,651.9,651.9,651.9,1220.4,1220.4,1220.4000244140625
Vealer Heifer,0-200,Processor,C,2,35,NQ,230.0,291.0,256.65714285714284,NQ,442.3,559.6,493.6,414.0,538.3,477.16714564732143
Vealer Heifer,0-200,Processor,D,2,3,2,250.0,250.0,250,20.0,480.8,480.8,480.8,475.0,475.0,475
Vealer Heifer,0-200,Restocker,C,2,14,-2,269.0,277.0,275,-5.9,517.3,532.7,528.8,511.1,542.0,536.2642865862165
Vealer Heifer,200-280,Processor,C,2,20,7,237.0,281.0,265.6,-18.2,455.8,540.4,510.8,485.9,590.1,553.6124877929688
Vealer Heifer,200-280,Processor,D,2,20,-8,210.0,251.0,232.85,-32.6,403.8,482.7,447.8,449.0,527.1,481.5300048828125
Grown Steer,0-400,Feeder,C,2,21,-7,329.0,339.0,331.3809523809524,-42.4,632.7,651.9,637.3,1250.2,1322.1,1298.652367001488
Grown Steer,0-400,Feeder,D,2,14,4,299.0,329.0,308.85714285714283,6.9,575.0,632.7,594.0,1166.3,1268.0,1200.6107177734375
Grown Steer,0-400,Processor,C,3,10,NQ,321.0,321.0,321,NQ,605.7,605.7,605.7,1146.0,1146.0,1145.969921875
Grown Steer,0-400,Restocker,C,2,25,-1,329.0,387.0,366.04,9.5,632.7,744.2,703.9,1200.8,1389.8,1359.3339892578124
Grown Steer,0-400,Restocker,D,2,3,-12,315.0,315.0,315,-42.1,605.8,605.8,605.8,1197.0,1197.0,1197
Grown Steer,400-500,Feeder,C,2,112,31,337.0,379.0,364.625,10.7,648.1,728.8,701.2,1389.2,1856.3,1636.612946646554
Grown Steer,400-500,Feeder,C,3,3,NQ,295.0,295.0,295,NQ,556.6,556.6,556.6,1327.5,1327.5,1327.5
Grown Steer,400-500,Feeder,D,2,46,29,297.0,343.0,325.4130434782609,-14.1,571.2,659.6,625.8,1259.6,1542.4,1398.8575917119565
Grown Steer,400-500,Processor,D,2,3,NQ,280.0,280.0,280,NQ,538.5,538.5,538.5,1386.0,1386.0,1386
Grown Steer,500-600,Feeder,C,3,2,-2,335.0,335.0,335,-30.0,644.2,644.2,644.2,1691.8,1691.8,1691.75
Grown Steer,500-600,Processor,C,3,5,-16,281.0,319.0,303.8,-20.3,530.2,601.9,573.2,1489.3,1738.6,1638.85009765625
Grown Steer,500-600,Processor,C,4,14,8,331.0,341.0,337.42857142857144,-1.6,613.0,631.5,624.9,1803.9,1824.3,1817.0643136160713
Grown Heifer,0-540,Feeder,C,2,8,-21,283.0,303.0,298.75,-5.3,544.2,582.7,574.5,1117.8,1242.3,1219.5687866210938
Grown Heifer,0-540,Feeder,D,2,10,NQ,241.0,287.0,264.8,NQ,463.5,551.9,509.2,795.3,1119.3,931.6049926757812
Grown Heifer,0-540,Feeder,D,3,11,-9,271.0,293.0,291,-14.6,521.2,552.8,550.0,1098.8,1233.1,1110.9590953480113
Grown Heifer,0-540,Processor,C,2,23,-4,273.0,281.0,279.4782608695652,-28.9,518.5,540.4,534.9,914.5,1386.0,1039.5695774244225
Grown Heifer,0-540,Processor,C,3,6,-23,282.0,282.0,282,-40.1,532.1,532.1,532.1,1254.9,1254.9,1254.9000651041667
Grown Heifer,0-540,Processor,C,4,12,-56,301.0,301.0,301,-38.6,557.4,567.9,559.2,1429.8,1444.8,1432.2583414713542
Grown Heifer,0-540,Processor,D,2,8,-3,247.0,263.0,250.25,-51.6,494.2,525.5,519.1,854.8,1130.8,1072.5563049316406
Grown Heifer,0-540,Processor,D,4,60,NQ,291.0,304.0,296.9,NQ,538.9,563.0,551.0,1223.1,1459.2,1366.1483072916667
Grown Heifer,0-540,Restocker,C,2,4,NQ,299.0,299.0,299,NQ,575.0,575.0,575.0,1315.6,1315.6,1315.5999755859375
Grown Heifer,0-540,Restocker,D,2,4,NQ,250.0,265.0,261.25,NQ,480.8,509.6,502.4,875.0,954.0,934.25
Cows,0-400,Feeder,E,2,3,NQ,180.0,180.0,180,NQ,428.6,428.6,428.6,711.0,711.0,711
Cows,0-400,Processor,D,2,7,NQ,241.0,251.0,246.71428571428572,NQ,523.9,545.7,536.3,735.0,1004.0,888.7357003348214
Cows,0-400,Processor,D,3,6,NQ,271.0,271.0,271,NQ,511.3,511.3,511.3,1029.8,1029.8,1029.800048828125
Cows,0-400,Restocker,D,2,8,-5,211.0,243.0,236.25,22.7,490.7,540.0,529.1,643.5,923.4,872.4437942504883
Cows,0-400,Restocker,E,2,1,NQ,200.0,200.0,200,NQ,465.1,465.1,465.1,610.0,610.0,610
Cows,400-520,Processor,D,2,48,46,229.0,251.0,243.41666666666666,-9.6,508.9,548.9,527.3,961.8,1229.9,1092.9718805948894
Cows,400-520,Processor,D,3,55,21,252.0,271.0,260.05454545454546,-15.5,525.0,564.6,542.6,1049.9,1307.9,1196.4718128551137
Cows,400-520,Processor,D,4,124,54,260.0,297.0,268.66129032258067,-24.2,513.5,560.4,529.8,1108.1,1400.8,1275.082261608493
