Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: TRLX Tamworth
Report Date: 19/08/2024
Comparison Date: 12/08/2024
Total Yarding: 1035 (-180)
Commentary
"There was another small reduction in supply while the quality and condition was mostly good. There was a similar buying group in attendance however there was less domestic trade competition on yearlings. There was a fair representation through the categories with yearlings and cows making up the bulk of the offering.

Demand was high through the young cattle with market trends for restocker and feeder steers firm to dearer. The improvement however was not substantial. The reduced processor competition on the well finished heavy yearlings did have some impact on the heaviest of the feeder steers while quality was also a factor in price change. The yearling heifers were also keenly sought by restockers and feedlotters with market trends as much as 20c/kg dearer in places on lightweights while the medium and heavyweights posted slight gains. 

A limited supply of well finished heavy grown steers sold to a slightly dearer trend with strong export processor competition. This trend carried through into the well finished grown heifers that also saw a quality improvement reflected in price change. The cow market was generally dearer however there was a drop off in the average quality of the penning that saw some negative change in average prices."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,14,2,407.0,407.0,407,27.0,782.7,782.7,782.7,1302.4,1302.4,1302.3999720982142
Yearling Steer,280-330,Restocker,C,2,54,-6,320.0,396.0,379.31481481481484,2.6,615.4,761.5,729.5,940.5,1267.2,1203.8573857060185
Yearling Steer,330-400,Feeder,C,2,53,-3,347.0,396.0,383.1698113207547,12.7,667.3,761.5,736.9,1288.0,1505.4,1378.1481334758255
Yearling Steer,330-400,Processor,C,3,1,NQ,370.0,370.0,370,NQ,685.2,685.2,685.2,1295.0,1295.0,1295
Yearling Steer,400+,Feeder,C,2,41,-6,365.0,412.0,395,20.0,701.9,775.0,751.0,1638.0,1940.0,1740.3683307926829
Yearling Steer,400+,Feeder,C,3,46,25,340.0,414.0,394.39130434782606,-10.6,629.6,766.7,730.4,1649.0,2194.2,1997.4793223505435
Yearling Steer,400+,Processor,C,3,6,-36,340.0,370.0,346.3333333333333,-35.5,629.6,685.2,641.4,1720.0,1870.0,1807.4166666666667
Yearling Steer,400+,Processor,C,4,1,-5,350.0,350.0,350,-20.0,648.1,648.1,648.1,2135.0,2135.0,2135
Yearling Heifer,280-330,Feeder,C,2,3,-22,362.0,362.0,362,16.4,696.2,696.2,696.2,1049.8,1049.8,1049.800048828125
Yearling Heifer,280-330,Restocker,C,2,13,-40,325.0,350.0,340.6923076923077,25.7,625.0,673.1,655.2,975.0,1050.0,1022.0769230769231
Yearling Heifer,330-400,Feeder,C,2,26,11,348.0,354.0,350.15384615384613,12.6,669.2,680.8,673.4,1260.0,1339.8,1294.015399639423
Yearling Heifer,330-400,Feeder,C,3,4,NQ,366.0,366.0,366,NQ,690.6,690.6,690.6,1354.2,1354.2,1354.199951171875
Yearling Heifer,330-400,Restocker,C,2,12,4,345.0,346.0,345.5833333333333,15.6,663.5,665.4,664.6,1276.5,1314.8,1298.8417154947917
