Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: CQLX Gracemere
Report Date: 11/12/2024
Comparison Date: 04/12/2024
Total Yarding: 3429 (-500)
Commentary
"CQLX Gracemere yarding decreased by 500 to 3429 head. Cattle came to hand from Mackay, Collinsville, Clermont and local areas south to Gin Gin. Quality and condition were generally good with a bigger percentage of the yarding being cows and heifers. Competition from a full field of buyers helped lift cow and heifers lines in processor classes above last week’s improved rates. This trend carried through much of the sale.

Light weight yearling steers sold to 435c/kg with the best-bred pens averaging 360c to 384 c/kg to restockers. The best of the medium and heavy yearling steers sold to 431c/kg, averaging 390c to 404c/kg to backgrounders and restockers. Best-bred yearling heifers in light pens averaged 261c to 297c/kg- selling to 311c/kg. Medium weight lines made to 343c/kg, averaging 295c to 336c/kg.

Feeder steers made to 409c/kg for grown pens, with averages from 332c to 380c/kg. Processor bullocks reached 331c/kg, averaging 309c to 318c/kg. The best trade heifers returned a top price of 363c/kg to average 334c to 351c/kg for good sized samples. A few grown heifers to feed averaged 278c to 334c/kg.

Restockers cows ranged from 209c/kg average to 251c/kg. Heavy, four score cows topped at 292c/kg, averaging 283 for the best conditioned pens. Heavy bulls to processors averaged 262c/kg whilst those to livex averaged 255c/kg with a top of 285c/kg. Cows and calves also maintained the upward trend of past weeks with the better-bred pens selling from $1,400 to $1,915 per unit. Reporter: Richard Thomson."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Restocker,C,2,8,NQ,343.0,375.0,360.75,NQ,659.6,721.2,693.8,656.3,711.8,698.375
Yearling Steer,0-200,Restocker,D,1,1,-2,323.0,323.0,323,78.0,621.2,621.2,621.2,613.7,613.7,613.7000122070312
Yearling Steer,0-200,Restocker,D,2,9,NQ,263.0,263.0,263,NQ,505.8,505.8,505.8,526.0,526.0,526
Yearling Steer,200-280,Feeder,C,2,6,NQ,361.0,361.0,361,NQ,694.2,694.2,694.2,938.6,938.6,938.5999348958334
Yearling Steer,200-280,Feeder,D,2,16,-26,220.0,273.0,237.1875,-20.7,423.1,525.0,456.1,563.5,655.2,624.96875
Yearling Steer,200-280,Processor,C,2,4,NQ,273.0,281.0,279,NQ,525.0,540.4,536.5,618.2,641.5,624.0375213623047
Yearling Steer,200-280,Processor,D,2,3,-11,271.0,271.0,271,-7.7,521.2,521.2,521.2,650.4,650.4,650.4000244140625
Yearling Steer,200-280,Restocker,C,2,406,38,292.0,435.0,383.54679802955667,6.3,561.5,836.5,737.6,645.8,1099.1,955.4635905749692
Yearling Steer,200-280,Restocker,D,2,201,-362,217.0,388.0,333.43283582089555,14.3,417.3,746.2,641.2,466.5,998.3,833.4069657207128
Yearling Steer,280-330,Feeder,C,2,36,26,320.0,431.0,397.02777777777777,12.4,615.4,828.8,763.5,992.0,1381.3,1285.916727701823
Yearling Steer,280-330,Feeder,D,2,21,15,300.0,417.0,352.3333333333333,72.3,576.9,801.9,677.6,930.0,1230.2,1070.2333199637276
Yearling Steer,280-330,Processor,D,2,2,-1,245.0,273.0,259,-18.0,471.2,525.0,498.1,698.3,778.0,738.1499938964844
