Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Charters Towers
Report Date: 04/12/2024
Comparison Date: 27/11/2024
Total Yarding: 2512 (+407)
Commentary
"Some useful storm rain across much of the supply area over the past week saw numbers increase by 400 head for a yarding of 2512 cattle. Quality was very mixed with some good lines of heavy, well finished bullocks, cows of mixed condition and quality, a large consignment of northern bulls and some good quality lines of store cattle. A reduced buyer panel consisted of four major processors, one live exporter and opportunity feeders and restockers. Cattle were drawn from McArthur River in the north, Richmond to Ingham and south to The Belyando and local area.

Values for prime categories were firm to 8c higher, depending on quality, restocker and feeder types lifted 9c to 50c/kg. Secondary and lesser quality lightweight cattle attracted minimal buyer support.

A minimal number of young steers sold according to quality similar heifers returning to the paddock averaged 267c, light heifers to feed destined for slaughter averaged 223c/kg. Yearling steers above 330kg to feed made to 284c to average 280c/kg. Good quality yearling heifers above 280kg to feed made 252c and heifers above 330kg sold to 266c/kg. A line of grown steers under 400kg to feed reached 290c to average 241c/kg. Grown steers above 400kg to the trade sold to 324c to average 287c, a small sample above 500kg averaged 298c/kg. Grown heifers to processors reached 272c to average 245c/kg.

An increased supply of heavy full mouthed bullocks to export slaughter met strong demand, topping at 338c multiple times to average 317c to 328c/kg. Lightweight prime cows to processors made to 244c to average 202c/kg. Medium weight 3 score cows sold to 264c to average 254c, prime heavyweight 3 and 4 score cows sold from 274c to 292c/kg. Heavy bulls to live export made form 246c to 270c, processor bulls sold from 210c to 270c/kg.

Market Reporter, Mick Kingham"


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,0-200,Feeder,D,1,1,NQ,180.0,180.0,180,NQ,352.9,352.9,352.9,342.0,342.0,342
Yearling Steer,200-280,Feeder,D,2,8,-59,268.0,268.0,268,64.4,515.4,515.4,515.4,616.4,616.4,616.4000244140625
Yearling Steer,200-280,Feeder,E,2,7,NQ,160.0,160.0,160,NQ,313.7,313.7,313.7,352.0,352.0,352
Yearling Steer,200-280,Restocker,D,2,9,-55,120.0,268.0,237.55555555555554,2.1,230.8,515.4,456.8,276.0,576.2,516.5111219618055
Yearling Steer,280-330,Feeder,C,2,19,-8,270.0,276.0,273.7894736842105,-37.4,519.2,530.8,526.5,769.5,869.4,832.5947779605264
Yearling Steer,280-330,Processor,D,2,2,1,200.0,268.0,234,64.0,384.6,515.4,450.0,610.0,763.8,686.8999938964844
Yearling Steer,280-330,Processor,E,2,4,NQ,220.0,220.0,220,NQ,423.1,423.1,423.1,649.0,649.0,649
Yearling Steer,280-330,Restocker,D,2,3,-34,274.0,274.0,274,24.8,526.9,526.9,526.9,863.1,863.1,863.0999348958334
Yearling Steer,330-400,Feeder,C,2,24,-44,280.0,284.0,281.6666666666667,-23.7,538.5,546.2,541.7,1036.0,1050.8,1042.1666666666667
Yearling Steer,330-400,Feeder,D,2,9,-23,280.0,280.0,280,51.1,538.5,538.5,538.5,952.0,952.0,952
Yearling Steer,400+,Feeder,C,2,1,NC,270.0,270.0,270,-26.0,519.2,519.2,519.2,1201.5,1201.5,1201.5
Yearling Heifer,200-280,Feeder,C,2,29,27,252.0,252.0,252,2.0,484.6,484.6,484.6,667.8,667.8,667.7999730603449
