Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Bairnsdale
Report Date: 15/01/2025
Comparison Date: 08/01/2025
Total Yarding: 530 (+233)
Commentary
"There were approximately 430 export and 100 young cattle penned representing an increase of 230 head week-on-week. The usual buying group was present and operating in a cheaper market. Quality was mixed with some good trade cattle and some well finished heavy weights in the grown while secondary cattle were well supplied. Trade cattle eased 16c/kg for most and more in places. Grown steers and bullocks sold firm to 10c easier and manufacturing steers lost 17c/kg. Heavy heifers gave back 25c/kg. Cows eased 10c to 15c/kg. Heavy bulls improved 9c/kg. 

Vealers sold from 290c to 332c/kg. Yearling heifers to the trade made between 310c and 330c/kg. Grown steers and bullocks sold between 330c and 350c/kg. Heavy grown heifers with finish made from 321c to 339c/kg. 

Manufacturing steers sold from 270c to 340c/kg. Most light and medium weight cows made between 230c and 280c/kg. Heavy weight cows sold mostly between 260c and 314c/kg. Heavy bulls made from 256c to 307c/kg. 

Market reporter: Brendan Fletcher."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Grown Heifer,540+,Processor,D,2,7,NQ,288.0,290.0,288.2857142857143,NQ,600.0,604.2,600.6,1584.0,1624.0,1589.7142857142858
Grown Heifer,540+,Processor,D,3,19,2,321.0,339.0,325.3157894736842,-27.6,598.1,627.8,616.9,1797.6,1949.3,1846.031584087171
Grown Heifer,540+,Processor,D,4,1,NQ,312.0,312.0,312,NQ,600.0,600.0,600.0,2340.0,2340.0,2340
Cows,0-400,Dairy,E,1,3,NQ,192.0,192.0,192,NQ,480.0,480.0,480.0,768.0,768.0,768
Cows,0-400,Processor,D,1,1,NQ,220.0,220.0,220,NQ,500.0,500.0,500.0,836.0,836.0,836
Cows,0-400,Processor,D,2,2,NQ,255.0,255.0,255,NQ,542.6,542.6,542.6,1020.0,1020.0,1020
Cows,400-520,Dairy,E,1,4,2,230.0,230.0,230,-38.0,575.0,575.0,575.0,1035.0,1035.0,1035
Cows,400-520,Processor,D,1,5,1,265.0,265.0,265,-3.0,576.1,576.1,576.1,1219.0,1325.0,1240.2
Cows,400-520,Processor,D,2,12,NQ,260.0,280.0,271.1666666666667,NQ,553.2,591.5,572.8,1170.0,1400.0,1333.9583333333333
Cows,400-520,Processor,E,1,13,3,238.0,238.0,238,26.9,540.9,566.7,554.8,1047.2,1094.8,1069.169208233173
Cows,400-520,Restocker,D,1,1,NQ,250.0,250.0,250,NQ,555.6,555.6,555.6,1125.0,1125.0,1125
Cows,520+,Dairy,D,1,7,NQ,260.0,260.0,260,NQ,565.2,565.2,565.2,1690.0,1690.0,1690
Cows,520+,Dairy,D,2,6,-4,268.0,268.0,268,-15.5,558.3,558.3,558.3,1943.0,1943.0,1943
Cows,520+,Dairy,E,2,10,NQ,260.0,276.0,269.6,NQ,565.2,587.2,578.4,1404.0,1545.6,1494.1599609375
Cows,520+,Processor,C,2,2,NQ,305.0,312.0,308.5,NQ,600.0,610.0,605.0,1753.8,1872.0,1812.875
Cows,520+,Processor,C,3,1,NQ,325.0,325.0,325,NQ,601.9,601.9,601.9,2275.0,2275.0,2275
Cows,520+,Processor,D,1,2,-5,267.0,267.0,267,-3.4,580.4,580.4,580.4,1468.5,1468.5,1468.5
Cows,520+,Processor,D,2,73,56,272.0,297.0,283.47945205479454,-12.3,572.9,610.4,591.2,1468.8,1740.0,1597.532199807363
Cows,520+,Processor,D,3,45,25,290.0,304.0,298.02222222222224,-13.5,588.0,612.2,600.0,1646.4,1930.5,1748.757790798611
Cows,520+,Processor,D,4,29,-14,298.0,314.0,304.2068965517241,-12.1,596.0,624.0,605.1,1736.5,2198.0,1907.7586206896551
Cows,520+,Processor,D,5,4,NQ,270.0,290.0,275,NQ,540.0,580.0,550.0,1755.0,2030.0,1823.75
Bulls,0-450,Dairy,D,1,1,NQ,230.0,230.0,230,NQ,479.2,479.2,479.2,632.5,632.5,632.5
Bulls,0-450,Dairy,E,1,7,NQ,208.0,208.0,208,NQ,452.2,452.2,452.2,665.6,665.6,665.5999581473214
Bulls,600+,Processor,C,1,2,NQ,256.0,262.0,259,NQ,492.3,503.8,498.1,1664.0,1965.0,1814.5
Bulls,600+,Processor,C,2,9,4,276.0,303.0,287.3333333333333,9.5,492.9,541.1,516.2,1794.0,2448.0,2236.9444444444443
Bulls,600+,Processor,C,3,7,3,292.0,307.0,298.85714285714283,9.4,503.4,529.3,516.5,2499.0,3256.0,2794.785714285714
