Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 29/02/2024
Comparison Date: 15/02/2024
Total Yarding: 1230 (-370)
Commentary
"A further reduction in numbers. Vealers and light weight yearlings were well supplied along with some very good cows. Overall the quality of the offering was good albeit mixed for breed. Condition was fair to good with all buyers able to operate.

There was strong breed specific demand from local restockers which resulted in steers under 330kg selling to dearer trends and posting strong gains. There was also some breed related improvement in the heifer weaners. Medium and heavy weight yearling steers to restock and feed sold on a dearer market than a fortnight ago whilst showing some quality related price change in places. Medium and heavy weight yearling heifers sold to a slightly dearer trend.

Well finished heavy grown steers to process sold to a slightly cheaper trend with some weight and quality related price change. The best of the heavy weight grown heifers sold to a slightly dearer trend. There was strong demand for cows with restockers active on those lighter in condition. Well finished heavy weights attracted strong processor competition with trends as much as 15c/kg dearer than a fortnight ago. Heavy bulls sold on a firm to slightly cheaper trend."


Category,Weight Range,Sale Prefix,Muscle Score,Fat Score,Head Count,Head Change,Min Lwt c/kg,Max Lwt c/kg,Avg Lwt c/kg,Avg Lwt Change,Min Cwt c/kg,Max Cwt c/kg,Avg Cwt c/kg,Min $/Head,Max $/Head,Avg $/Head
Yearling Steer,280-330,Feeder,C,2,6,-3,378.0,378.0,378,18.0,726.9,726.9,726.9,1247.4,1247.4,1247.4000651041667
Yearling Steer,280-330,Restocker,C,2,90,33,300.0,396.0,380.6666666666667,19.2,576.9,761.5,732.1,930.0,1227.6,1162.6966471354167
Yearling Steer,280-330,Restocker,D,2,1,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,570.0,570.0,570
Yearling Steer,330-400,Dairy,D,2,12,NQ,192.0,200.0,194,NQ,384.0,400.0,388.0,720.0,720.0,720
Yearling Steer,330-400,Feeder,C,2,78,32,316.0,374.0,348.38461538461536,5.1,607.7,719.2,670.0,1074.4,1496.0,1286.8230919471155
Yearling Steer,330-400,Restocker,C,2,19,12,258.0,383.0,343.5263157894737,-4.2,496.2,736.5,660.6,877.2,1340.5,1194.1947471217106
Yearling Steer,400+,Feeder,C,2,34,-60,334.0,364.0,348.1764705882353,-8.1,642.3,700.0,669.6,1369.4,1638.0,1511.217669318704
Yearling Steer,400+,Feeder,C,3,1,-5,310.0,310.0,310,-15.3,574.1,574.1,574.1,1643.0,1643.0,1643
Yearling Steer,400+,Processor,C,3,1,NQ,300.0,300.0,300,NQ,555.6,555.6,555.6,1650.0,1650.0,1650
Yearling Heifer,200-280,Restocker,D,2,6,-29,274.0,274.0,274,-3.5,548.0,548.0,548.0,657.6,657.6,657.5999755859375
Yearling Heifer,280-330,Restocker,C,2,14,-24,278.0,300.0,285.2857142857143,-0.8,534.6,576.9,548.6,855.0,957.0,912.5142996651786
Yearling Heifer,280-330,Restocker,D,2,8,NQ,245.0,245.0,245,NQ,490.0,490.0,490.0,710.5,710.5,710.5
Yearling Heifer,330-400,Feeder,C,2,51,39,316.0,334.0,330.8235294117647,40.8,607.7,642.3,636.2,1074.4,1169.0,1152.3058938419117
