Data Supplied By: National Livestock Reporting Service
Data source: National Livestock Reporting Service

Please see terms of use here: https://www.mla.com.au/general/Terms-and-conditions/data-and-information/

Saleyard: Armidale
Report Date: 29/02/2024
Comparison Date: 15/02/2024
Total Yarding: 1230 (-370)
Commentary
"A further reduction in numbers. Vealers and light weight yearlings were well supplied along with some very good cows. Overall the quality of the offering was good albeit mixed for breed. Condition was fair to good with all buyers able to operate.

There was strong breed specific demand from local restockers which resulted in steers under 330kg selling to dearer trends and posting strong gains. There was also some breed related improvement in the heifer weaners. Medium and heavy weight yearling steers to restock and feed sold on a dearer market than a fortnight ago whilst showing some quality related price change in places. Medium and heavy weight yearling heifers sold to a slightly dearer trend.

Well finished heavy grown steers to process sold to a slightly cheaper trend with some weight and quality related price change. The best of the heavy weight grown heifers sold to a slightly dearer trend. There was strong demand for cows with restockers active on those lighter in condition. Well finished heavy weights attracted strong processor competition with trends as much as 15c/kg dearer than a fortnight ago. Heavy bulls sold on a firm to slightly cheaper trend."
Yearling Heifer,330-400,Feeder,C,3,14,NQ,290.0,310.0,307.14285714285717,NQ,547.2,596.2,580.3,1085.0,1131.5,1090.75
Yearling Heifer,330-400,Restocker,C,2,14,-1,270.0,316.0,310.42857142857144,1.1,519.2,607.7,597.0,918.0,1155.0,1124.3999720982142
Yearling Heifer,330-400,Restocker,C,3,1,NQ,280.0,280.0,280,NQ,528.3,528.3,528.3,1064.0,1064.0,1064
Yearling Heifer,400+,Feeder,C,2,10,NQ,331.0,331.0,331,NQ,636.5,636.5,636.5,1357.1,1357.1,1357.1
Yearling Heifer,400+,Feeder,C,3,20,3,292.0,329.0,321.3,38.9,550.9,620.8,606.2,1284.8,1398.3,1367.7150024414063
Vealer Steer,0-200,Restocker,C,2,10,-20,338.0,448.0,415,7.2,650.0,861.5,798.1,608.4,828.8,762.6800170898438
Vealer Steer,200-280,Restocker,C,2,91,45,326.0,461.0,392.5934065934066,19.7,626.9,886.5,755.0,717.2,1106.4,956.4351524939904
Vealer Steer,280-330,Restocker,C,2,47,NQ,348.0,390.0,376.468085106383,NQ,669.2,750.0,724.0,991.8,1241.6,1137.3446538397607
Vealer Steer,330+,Restocker,C,2,28,NQ,374.0,390.0,383.7142857142857,NQ,719.2,750.0,737.9,1271.6,1326.0,1304.6285574776787
Vealer Heifer,0-200,Restocker,C,2,10,-25,260.0,316.0,288,-15.9,500.0,607.7,553.8,390.0,632.0,511
Vealer Heifer,200-280,Processor,C,2,2,-8,315.0,315.0,315,35.0,605.8,605.8,605.8,771.8,771.8,771.75
Vealer Heifer,200-280,Restocker,C,2,31,8,290.0,310.0,299.2903225806452,18.9,557.7,596.2,575.6,651.2,837.0,753.0064579133065
Vealer Heifer,280-330,Processor,C,3,10,NQ,300.0,300.0,300,NQ,566.0,576.9,572.6,855.0,930.0,885
Vealer Heifer,280-330,Restocker,C,2,29,NQ,280.0,308.0,290.55172413793105,NQ,538.5,592.3,558.8,812.0,924.0,844.5344827586207
Manufacturing Steer,0-540,Feeder,C,3,2,NQ,270.0,270.0,270,NQ,500.0,500.0,500.0,1458.0,1458.0,1458
Manufacturing Steer,0-540,Processor,C,3,1,NQ,230.0,230.0,230,NQ,425.9,425.9,425.9,1242.0,1242.0,1242
Manufacturing Steer,540+,Dairy,D,3,6,-11,249.0,249.0,249,-13.0,478.8,478.8,478.8,1618.5,1618.5,1618.5
Manufacturing Steer,540+,Processor,C,3,9,NQ,287.0,290.0,289.3333333333333,NQ,531.5,537.0,535.8,1653.0,1722.0,1668.3333333333333
Grown Steer,0-400,Feeder,D,2,6,NQ,200.0,200.0,200,NQ,400.0,400.0,400.0,660.0,660.0,660
Grown Steer,400-500,Feeder,C,2,29,-33,300.0,358.0,346.62068965517244,4.4,576.9,688.5,666.6,1290.0,1634.0,1496.434502963362
Grown Steer,400-500,Processor,C,2,1,-9,258.0,258.0,258,3.0,496.2,496.2,496.2,1135.2,1135.2,1135.199951171875
Grown Steer,400-500,Restocker,C,2,3,NQ,340.0,340.0,340,NQ,653.8,653.8,653.8,1394.0,1394.0,1394
Grown Steer,500-600,Feeder,C,3,17,9,286.0,348.0,317.88235294117646,12.1,529.6,644.4,588.7,1573.0,1879.2,1745.2940889246324
Grown Steer,500-600,Processor,C,2,5,2,258.0,258.0,258,-17.0,496.2,496.2,496.2,1419.0,1419.0,1419
Grown Steer,500-600,Processor,C,3,2,-10,287.0,287.0,287,-5.3,531.5,531.5,531.5,1578.5,1578.5,1578.5
Grown Steer,600-750,Processor,B,3,1,NQ,340.0,340.0,340,NQ,596.5,596.5,596.5,2176.0,2176.0,2176
Grown Steer,600-750,Processor,C,3,2,-4,296.0,299.0,297.5,1.5,548.1,553.7,550.9,1805.6,1883.7,1844.6499633789062
Grown Steer,750+,Processor,C,3,1,NQ,285.0,285.0,285,NQ,527.8,527.8,527.8,2337.0,2337.0,2337
Grown Heifer,0-540,Feeder,C,2,1,-14,289.0,289.0,289,24.6,555.8,555.8,555.8,1184.9,1184.9,1184.9000244140625
Grown Heifer,0-540,Feeder,C,3,23,7,270.0,326.0,307.7826086956522,27.2,509.4,615.1,585.4,1188.0,1484.1,1433.6130689538043
Grown Heifer,0-540,Processor,C,3,12,-41,261.0,287.0,277.8333333333333,0.6,501.9,548.1,533.4,1254.0,1435.0,1289.4166666666667
Grown Heifer,0-540,Restocker,C,3,2,NQ,296.0,296.0,296,NQ,569.2,569.2,569.2,1406.0,1406.0,1406
Grown Heifer,0-540,Restocker,D,2,5,NC,255.0,268.0,257.6,49.6,510.0,536.0,515.2,1125.6,1147.5,1143.1199951171875
Grown Heifer,0-540,Restocker,D,3,1,-5,246.0,246.0,246,4.0,482.4,482.4,482.4,1193.1,1193.1,1193.0999755859375
Grown Heifer,540+,Processor,C,4,7,1,270.0,290.0,275.7142857142857,-3.3,509.4,547.2,520.2,1512.0,1736.0,1600.2857142857142
Cows,400-520,Processor,D,2,14,-10,150.0,225.0,198.21428571428572,18.6,333.3,500.0,440.5,660.0,1018.5,946.5
Cows,400-520,Processor,D,3,8,-28,205.0,238.0,221.75,7.0,436.2,479.2,466.7,1012.0,1154.3,1059.5375061035156
Cows,400-520,Processor,D,4,3,1,238.0,245.0,240.33333333333334,3.3,476.0,490.0,480.7,1190.0,1274.0,1218
Cows,400-520,Restocker,D,2,2,-17,228.0,228.0,228,58.9,506.7,506.7,506.7,1185.6,1185.6,1185.5999755859375
Cows,400-520,Restocker,D,3,4,NQ,230.0,246.0,242,NQ,489.4,523.4,514.9,1150.0,1279.2,1246.8999633789062
Cows,520+,Dairy,D,2,8,NQ,180.0,220.0,195,NQ,400.0,488.9,433.3,1026.0,1188.0,1086.75
Cows,520+,Processor,D,3,21,-27,241.0,255.0,247.57142857142858,17.9,496.0,510.0,504.7,1301.4,1453.5,1393.942847842262
Cows,520+,Processor,D,4,58,10,230.0,261.0,252.4655172413793,10.7,479.2,522.0,510.9,1347.5,1774.8,1589.3000067349137
Cows,520+,Processor,D,5,9,NC,235.0,243.0,238.22222222222223,-9.2,470.0,486.0,476.4,1527.5,1659.0,1587.6444498697917
Bulls,450-600,Processor,C,2,11,7,202.0,250.0,240,4.0,374.1,463.0,444.4,929.2,1321.6,1125.4545454545455
Bulls,600+,Processor,B,2,17,-7,240.0,268.0,254.88235294117646,-1.6,428.6,478.6,455.1,1680.0,2613.0,2148.552935431985
Bulls,600+,Processor,C,2,12,-19,208.0,252.0,235.5,-8.7,385.2,466.7,434.8,1414.4,2250.0,1858.4333394368489
